# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1
0,1745352140.698594,0,0.08029197156429291,1.0,0,0
1,1745352140.8212438,3200,0.08029197156429291,1.0,-0.05797101557254791,0.9983316659927368
2,1745352144.0501049,6400,0.0286956038326025,0.9999048113822937,-0.05797101557254791,0.9983316659927368
3,1745352144.403227,9600,0.0286956038326025,0.9999048113822937,-0.028985507786273956,1.0012397766113281
4,1745352147.4298198,12800,0.010583393275737762,1.0000083446502686,-0.028985507786273956,1.0012397766113281
5,1745352147.6466463,16000,0.010583393275737762,1.0000083446502686,-0.016568850725889206,1.0046415328979492
6,1745352150.7261534,19200,0.011458671651780605,1.0000649690628052,-0.016568850725889206,1.0046415328979492
7,1745352151.0324223,22400,0.011458671651780605,1.0000649690628052,-0.02466440014541149,0.9998418092727661
8,1745352154.13169,25600,0.018562911078333855,0.9999633431434631,-0.02466440014541149,0.9998418092727661
9,1745352154.475751,28800,0.018562911078333855,0.9999633431434631,-0.018441198393702507,0.9979577660560608
10,1745352157.418124,32000,0.026919472962617874,0.9998016357421875,-0.018441198393702507,0.9979577660560608
11,1745352157.9568708,35200,0.026919472962617874,0.9998016357421875,-0.030293038114905357,1.0027754306793213
12,1745352160.6797407,38400,0.012569630518555641,1.0003242492675781,-0.030293038114905357,1.0027754306793213
13,1745352161.2487633,41600,0.012569630518555641,1.0003242492675781,-0.01855805516242981,0.997297465801239
14,1745352164.339503,44800,0.014423085376620293,0.9999090433120728,-0.01855805516242981,0.997297465801239
15,1745352164.9731035,48000,0.014423085376620293,0.9999090433120728,-0.01707722246646881,1.0029280185699463
16,1745352168.016756,51200,0.014612634666264057,0.9997615814208984,-0.01707722246646881,1.0029280185699463
