# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1
0,1745359116.8115704,0,0.2571428716182709,0.9949632883071899,0,0
1,1745359116.8540795,3200,0.2571428716182709,0.9949632883071899,-0.27397260069847107,0.9962141513824463
2,1745359120.2494593,6400,0.1212184950709343,1.0080806016921997,-0.27397260069847107,0.9962141513824463
3,1745359120.6105251,9600,0.1212184950709343,1.0080806016921997,-0.11143885552883148,1.0230278968811035
4,1745359123.6077132,12800,0.04918215796351433,0.9964408874511719,-0.11143885552883148,1.0230278968811035
5,1745359123.8443336,16000,0.04918215796351433,0.9964408874511719,-0.045307058840990067,0.9969272017478943
6,1745359126.6723182,19200,0.08146025985479355,0.984117329120636,-0.045307058840990067,0.9969272017478943
7,1745359127.2812643,22400,0.08146025985479355,0.984117329120636,-0.07129372656345367,0.9926033020019531
8,1745359130.398741,25600,0.06097240373492241,1.0096038579940796,-0.07129372656345367,0.9926033020019531
9,1745359130.8472219,28800,0.06097240373492241,1.0096038579940796,-0.051555532962083817,1.0093640089035034
10,1745359133.8921285,32000,0.04074322059750557,1.0161384344100952,-0.051555532962083817,1.0093640089035034
11,1745359134.4480999,35200,0.04074322059750557,1.0161384344100952,-0.03214043006300926,1.014286756515503
12,1745359137.478485,38400,0.01977124810218811,1.0006513595581055,-0.03214043006300926,1.014286756515503
13,1745359137.9522889,41600,0.01977124810218811,1.0006513595581055,-0.01655992865562439,0.999728262424469
14,1745359141.1024325,44800,0.017299840226769447,0.9999939799308777,-0.01655992865562439,0.999728262424469
15,1745359141.6822286,48000,0.017299840226769447,0.9999939799308777,-0.015444135293364525,0.9991583228111267
16,1745359144.5615604,51200,0.004351342562586069,1.0043872594833374,-0.015444135293364525,0.9991583228111267
