# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1
0,1745359237.581095,0,-0.20000000298023224,0.9894207715988159,0,0
1,1745359237.6015341,3200,-0.20000000298023224,0.9894207715988159,0.1944444477558136,1.0071895122528076
2,1745359240.5715227,6400,-0.19016394019126892,0.9736902117729187,0.1944444477558136,1.0071895122528076
3,1745359240.7938175,9600,-0.19016394019126892,0.9736902117729187,0.19226354360580444,0.9795957803726196
4,1745359243.8374586,12800,-0.12940062582492828,1.0592235326766968,0.19226354360580444,0.9795957803726196
5,1745359244.0023348,16000,-0.12940062582492828,1.0592235326766968,0.13068196177482605,1.0253467559814453
6,1745359247.0319855,19200,-0.08455047011375427,1.0111960172653198,0.13068196177482605,1.0253467559814453
7,1745359247.28178,22400,-0.08455047011375427,1.0111960172653198,0.07971879094839096,1.0032352209091187
8,1745359250.1824286,25600,-0.06764037907123566,0.9930886030197144,0.07971879094839096,1.0032352209091187
9,1745359250.654086,28800,-0.06764037907123566,0.9930886030197144,0.06241448596119881,0.9867823123931885
10,1745359253.5129244,32000,-0.05173734948039055,1.0108591318130493,0.06241448596119881,0.9867823123931885
11,1745359253.7640862,35200,-0.05173734948039055,1.0108591318130493,0.050830040127038956,1.0083047151565552
12,1745359256.5742464,38400,-0.03897572681307793,1.013826608657837,0.050830040127038956,1.0083047151565552
13,1745359257.0464814,41600,-0.03897572681307793,1.013826608657837,0.038573600351810455,1.0140539407730103
14,1745359259.770703,44800,-0.03594199940562248,0.9983381628990173,0.038573600351810455,1.0140539407730103
15,1745359260.4298103,48000,-0.03594199940562248,0.9983381628990173,0.03561757132411003,1.0017434358596802
16,1745359263.1315596,51200,-0.03194844350218773,0.9948610663414001,0.03561757132411003,1.0017434358596802
