episode,reward
0,0.04
100,-0.06
200,-0.04
300,0.04
400,0.0
500,-0.14
600,0.04
700,0.14
800,0.02
900,0.02
1000,0.02
1100,0.14
1200,0.1
1300,0.0
1400,0.14
1500,-0.06
1600,0.02
1700,-0.04
1800,0.16
1900,-0.08
2000,-0.12
2100,0.04
2200,0.18
2300,0.2
2400,0.12
2500,0.14
2600,-0.18
2700,0.06
2800,0.04
2900,-0.24
3000,-0.06
3100,-0.22
3200,0.04
3300,-0.14
3400,-0.06
3500,-0.12
3600,0.06
3700,-0.28
3800,0.06
3900,-0.14
4000,-0.1
4100,-0.02
4200,0.12
4300,-0.04
4400,0.14
4500,0.1
4600,0.04
4700,0.02
4800,0.08
4900,0.18
5000,-0.1
5100,0.16
5200,0.12
5300,-0.04
5400,-0.04
5500,0.32
5600,0.12
5700,-0.18
5800,-0.02
5900,0.06
6000,-0.02
6100,0.0
6200,0.0
6300,-0.12
6400,-0.08
6500,0.06
6600,0.0
6700,0.18
6800,0.02
6900,0.2
7000,-0.02
7100,0.26
7200,-0.12
7300,0.1
7400,0.2
7500,0.18
7600,0.06
7700,0.06
7800,0.14
7900,-0.08
8000,-0.02
8100,0.0
8200,0.04
8300,-0.1
8400,0.06
8500,0.04
8600,0.1
8700,-0.02
8800,-0.22
8900,0.14
9000,0.04
9100,0.0
9200,0.0
9300,-0.14
9400,0.08
9500,0.14
9600,-0.08
9700,0.02
9800,-0.12
9900,-0.12
