episode,reward
0,0.04
100,0.04
200,0.02
300,-0.18
400,0.12
500,0.04
600,0.04
700,0.2
800,0.08
900,0.2
1000,0.06
1100,-0.02
1200,0.0
1300,0.0
1400,0.06
1500,-0.26
1600,-0.08
1700,0.1
1800,-0.02
1900,-0.06
2000,0.0
2100,0.0
2200,-0.04
2300,0.2
2400,-0.14
2500,0.02
2600,0.18
2700,-0.08
2800,0.14
2900,0.08
3000,0.12
3100,-0.08
3200,-0.02
3300,-0.04
3400,-0.06
3500,0.04
3600,-0.08
3700,-0.02
3800,0.02
3900,-0.1
4000,-0.08
4100,-0.02
4200,0.1
4300,0.02
4400,-0.06
4500,0.08
4600,-0.16
4700,0.0
4800,0.06
4900,0.22
5000,-0.26
5100,0.0
5200,-0.08
5300,-0.06
5400,-0.06
5500,0.0
5600,-0.08
5700,0.1
5800,0.2
5900,-0.06
6000,-0.14
6100,0.06
6200,-0.08
6300,-0.06
6400,0.06
6500,0.0
6600,0.04
6700,-0.06
6800,-0.06
6900,0.2
7000,0.08
7100,-0.24
7200,-0.06
7300,-0.1
7400,0.12
7500,-0.08
7600,-0.08
7700,0.04
7800,0.0
7900,-0.08
8000,0.04
8100,-0.12
8200,-0.14
8300,0.0
8400,-0.16
8500,0.04
8600,0.12
8700,0.06
8800,-0.04
8900,0.0
9000,0.12
9100,0.32
9200,0.02
9300,0.0
9400,0.04
9500,0.0
9600,0.14
9700,-0.02
9800,-0.18
9900,-0.02
