episode,reward
0,0.04
100,0.16
200,0.08
300,-0.08
400,0.08
500,0.02
600,-0.18
700,0.06
800,-0.02
900,0.04
1000,0.1
1100,0.12
1200,0.16
1300,0.02
1400,0.14
1500,-0.12
1600,0.04
1700,0.0
1800,0.12
1900,0.02
2000,-0.18
2100,0.08
2200,-0.04
2300,0.22
2400,-0.04
2500,0.02
2600,0.08
2700,0.08
2800,0.0
2900,0.08
3000,-0.04
3100,0.16
3200,-0.02
3300,0.12
3400,-0.02
3500,0.2
3600,0.02
3700,-0.08
3800,-0.1
3900,0.18
4000,0.18
4100,0.14
4200,0.0
4300,-0.1
4400,0.04
4500,0.14
4600,-0.02
4700,0.08
4800,0.14
4900,0.22
5000,0.14
5100,0.04
5200,0.08
5300,0.06
5400,-0.02
