episode,reward
0,0.04
100,-0.12
200,0.0
300,0.12
400,0.1
500,0.18
600,-0.08
700,-0.04
800,0.02
900,0.08
1000,-0.06
1100,-0.08
1200,0.04
1300,-0.08
1400,-0.14
1500,0.12
1600,0.08
1700,0.14
1800,0.1
1900,0.04
2000,0.34
2100,0.1
2200,0.06
2300,0.04
2400,-0.08
2500,0.0
2600,0.12
2700,-0.14
2800,-0.14
2900,0.1
3000,-0.18
3100,0.08
3200,-0.18
3300,0.0
3400,-0.04
3500,0.1
3600,0.08
3700,0.04
3800,-0.14
3900,0.1
4000,0.0
4100,0.12
4200,0.1
4300,-0.1
4400,-0.04
4500,-0.08
4600,-0.18
4700,0.22
4800,-0.02
4900,0.08
