step,rl-loss,episode
48,0,0
2106,0.16121304035186768,100
4298,0.15247441828250885,200
6621,0.20526230335235596,300
8810,0.15010711550712585,400
11218,0.06441798806190491,500
13723,0.09924435615539551,600
16030,0.09155412018299103,700
18348,0.1269441694021225,800
20650,0.06851556897163391,900
23102,0.07767215371131897,1000
25410,0.0641077384352684,1100
27880,0.04635791853070259,1200
30442,0.06072528660297394,1300
32787,0.043114807456731796,1400
35100,0.19825433194637299,1500
37362,0.07723692059516907,1600
39745,0.11144372820854187,1700
42060,0.11095427721738815,1800
44515,0.1642472892999649,1900
46920,0.05336602032184601,2000
49088,0.0830569714307785,2100
51529,0.07984428852796555,2200
54117,0.14885753393173218,2300
56350,0.09007848054170609,2400
58507,0.021926721557974815,2500
60887,0.11721734702587128,2600
63252,0.2099618911743164,2700
65789,0.2950029671192169,2800
68127,0.06017868220806122,2900
