step,rl-loss,episode
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,1
15,0,1
16,0,1
17,0,1
18,0,1
19,0,1
20,0,1
21,0,1
22,0,1
23,0,1
24,0,2
25,0,2
26,0,2
27,0,2
28,0,2
29,0,2
30,0,2
31,0,2
32,0,2
33,0,2
34,0,2
35,0,2
36,0,2
37,0,2
38,0,2
39,0,2
40,0,2
41,0,2
42,0,2
43,0,3
44,0,3
45,0,3
46,0,3
47,0,3
48,0,3
49,0,3
50,0,3
51,0,3
52,0,3
53,0,3
54,0,3
55,0,3
56,0,3
57,0,3
58,0,3
59,0,3
60,0,3
61,0,3
62,0,3
63,0,3
64,0,3
65,0,3
66,0,3
67,0,3
68,0,3
69,0,3
70,0,3
71,0,3
72,0,3
73,0,3
74,0,4
75,0,4
76,0,4
77,0,4
78,0,4
79,0,4
80,0,4
81,0,4
82,0,4
83,0,4
84,0,4
85,0,4
86,0,4
87,0,4
88,0,4
89,0,4
90,0,4
91,0,4
92,0,4
93,0,4
94,0,4
95,0,4
96,0,4
97,0,5
98,0,5
99,0,5
100,0.2962796986103058,5
101,0.4058995246887207,5
102,0.561028778553009,5
103,0.6270133852958679,5
104,0.414364218711853,5
105,0.4920569062232971,6
106,0.6592283248901367,6
107,0.4711216390132904,6
108,0.429940789937973,6
109,0.5956496000289917,6
110,0.6064428687095642,6
111,0.49316033720970154,6
112,0.2903260588645935,6
113,0.3136630356311798,6
114,0.437126100063324,6
115,0.38219231367111206,7
116,0.5323187112808228,7
117,0.5140067338943481,7
118,0.4389570355415344,7
119,0.5699952840805054,7
120,0.5356779098510742,7
121,0.5196174383163452,7
122,0.4107244312763214,7
123,0.41367578506469727,7
124,0.49852561950683594,7
125,0.33342164754867554,7
126,0.47551220655441284,7
127,0.49450552463531494,7
128,0.4831450879573822,7
129,0.5539461374282837,7
130,0.4099677503108978,7
131,0.39559757709503174,7
132,0.48215243220329285,7
133,0.3916110098361969,7
134,0.5305932760238647,7
135,0.45622768998146057,7
136,0.551146388053894,7
137,0.4919065535068512,7
138,0.4405597150325775,7
139,0.4715087413787842,8
140,0.4237348735332489,8
141,0.3248705267906189,8
142,0.27119016647338867,8
143,0.5190974473953247,8
144,0.4050784111022949,8
145,0.46179842948913574,8
146,0.538417398929596,8
147,0.4091610312461853,8
148,0.4259966015815735,8
149,0.4864335358142853,8
150,0.32726553082466125,8
151,0.36466628313064575,8
152,0.49064964056015015,8
153,0.35908669233322144,8
154,0.47549641132354736,8
155,0.3226587176322937,8
156,0.3821101188659668,8
157,0.3849165141582489,8
158,0.3164786398410797,8
159,0.4364461600780487,8
160,0.3168524503707886,8
161,0.4158925414085388,8
162,0.2705230116844177,8
163,0.3097948431968689,8
164,0.49845752120018005,8
165,0.38945844769477844,8
166,0.44375020265579224,8
167,0.36661016941070557,8
