Run    Max    Min    Mean  
2      0.34   -0.10  0.12  
12     0.28   -0.12  0.06  
21     0.28   -0.16  0.07  
49     0.28   -0.14  0.06  
18     0.26   -0.16  0.04  
48     0.26   -0.06  0.04  
5      0.26   -0.18  0.00  
20     0.24   -0.16  0.03  
24     0.24   -0.16  0.04  
34     0.24   -0.16  -0.00 
8      0.24   -0.32  -0.03 
36     0.22   -0.20  0.01  
39     0.22   -0.24  0.01  
40     0.22   -0.24  -0.01 
41     0.22   0.00   0.10  
52     0.22   -0.12  0.07  
53     0.22   -0.18  0.01  
0      0.20   -0.08  0.06  
13     0.20   -0.08  0.02  
27     0.20   -0.16  0.04  
28     0.20   -0.16  0.03  
31     0.20   -0.16  0.03  
44     0.20   -0.06  0.05  
7      0.20   -0.20  -0.01 
29     0.18   -0.16  0.02  
46     0.18   -0.16  -0.00 
16     0.16   -0.12  -0.00 
6      0.16   -0.20  0.01  
9      0.16   -0.14  0.04  
1      0.14   -0.02  0.04  
10     0.14   -0.10  0.03  
11     0.14   -0.08  0.03  
33     0.14   -0.18  0.00  
42     0.14   -0.12  0.04  
50     0.14   -0.24  -0.01 
51     0.14   -0.26  -0.03 
14     0.12   -0.14  -0.03 
15     0.12   -0.14  0.01  
23     0.12   -0.16  -0.03 
26     0.12   -0.18  -0.03 
3      0.12   -0.14  0.00  
32     0.12   -0.16  -0.02 
35     0.12   -0.16  0.01  
43     0.12   -0.22  -0.02 
17     0.10   -0.16  0.00  
22     0.10   -0.28  -0.06 
30     0.10   -0.16  -0.03 
38     0.10   -0.14  0.02  
4      0.10   -0.08  0.01  
47     0.10   -0.16  -0.03 
25     0.08   -0.16  -0.04 
45     0.08   0.00   0.03  
19     0.06   -0.20  -0.06 
37     0.06   -0.14  -0.01 
