episode,reward
0,0.06
100,0.08
200,0.1
300,0.26
400,0.1
500,0.08
600,0.16
700,-0.1
800,0.34
900,0.12
1000,-0.12
1100,0.06
1200,-0.06
1300,-0.12
1400,0.06
1500,-0.16
1600,0.2
1700,0.02
1800,0.06
1900,0.12
2000,0.04
2100,0.04
2200,0.14
2300,0.0
2400,-0.04
2500,0.16
2600,0.14
2700,0.02
2800,0.18
2900,-0.16
3000,0.06
3100,0.14
3200,-0.24
3300,0.04
3400,0.02
3500,-0.04
3600,0.02
3700,0.02
3800,0.08
3900,-0.08
4000,0.1
4100,-0.06
4200,0.14
4300,-0.04
4400,-0.04
4500,-0.08
4600,0.02
4700,-0.1
4800,-0.04
4900,-0.04
5000,0.02
5100,-0.08
5200,-0.06
5300,-0.02
5400,-0.08
5500,0.0
5600,0.22
5700,-0.06
5800,-0.16
5900,0.12
6000,-0.02
6100,0.06
6200,0.0
6300,0.14
6400,-0.1
6500,0.1
6600,0.06
6700,-0.02
6800,0.0
6900,0.12
7000,0.06
7100,0.02
7200,0.1
7300,0.08
7400,0.04
7500,-0.1
7600,-0.04
7700,0.04
7800,0.1
7900,-0.06
8000,0.06
8100,0.16
8200,0.04
8300,0.04
8400,0.16
8500,-0.12
8600,0.18
8700,0.0
8800,0.12
8900,0.04
9000,0.06
9100,0.02
9200,-0.06
9300,0.06
9400,-0.06
9500,0.02
9600,0.26
9700,-0.08
9800,0.06
9900,0.02
