episode,reward
0,0.06
100,-0.02
200,0.08
300,0.04
400,0.1
500,0.04
600,0.02
700,-0.02
800,0.02
900,-0.14
1000,-0.2
1100,0.1
1200,-0.14
1300,-0.08
1400,0.04
1500,0.1
1600,0.1
1700,0.0
1800,0.12
1900,-0.12
2000,0.2
2100,0.04
2200,0.04
2300,0.02
2400,0.12
2500,0.08
2600,0.02
2700,-0.08
2800,-0.06
2900,-0.08
3000,0.22
3100,0.06
3200,0.0
3300,0.12
3400,0.06
3500,0.04
3600,-0.08
3700,-0.02
3800,-0.04
3900,-0.02
4000,0.0
4100,-0.02
4200,-0.02
4300,-0.06
4400,-0.04
4500,-0.12
4600,0.06
4700,0.14
4800,-0.04
4900,-0.08
5000,-0.08
5100,0.08
5200,-0.18
5300,0.1
5400,0.02
5500,0.1
5600,0.06
5700,0.04
5800,0.14
5900,-0.22
6000,-0.04
6100,0.1
6200,0.02
6300,-0.06
6400,-0.04
6500,0.1
6600,0.1
6700,-0.08
6800,0.34
6900,0.08
7000,0.08
7100,0.0
7200,0.12
7300,-0.1
7400,-0.04
7500,0.1
7600,0.06
7700,0.04
7800,-0.22
7900,0.14
8000,-0.12
8100,0.14
8200,-0.04
8300,0.26
8400,-0.04
8500,0.08
8600,0.0
8700,-0.12
8800,0.0
8900,0.1
9000,0.24
9100,0.08
9200,0.16
9300,-0.14
9400,0.22
9500,0.1
9600,-0.14
9700,0.06
9800,0.02
9900,0.3
