episode,reward
0,0.04
100,-0.04
200,0.04
300,0.12
400,-0.16
500,-0.14
600,0.12
700,0.02
800,0.22
900,-0.08
1000,0.02
1100,0.06
1200,-0.04
1300,0.2
1400,-0.1
1500,0.02
1600,-0.08
1700,0.16
1800,0.04
1900,-0.08
2000,-0.04
2100,0.06
2200,-0.08
2300,-0.12
2400,0.0
2500,-0.06
2600,0.0
2700,-0.02
2800,0.24
2900,-0.12
3000,0.1
3100,0.12
3200,0.06
3300,0.0
3400,-0.06
3500,-0.08
3600,0.1
3700,-0.06
3800,0.0
3900,-0.16
4000,0.0
4100,-0.06
4200,0.18
4300,0.1
4400,-0.14
4500,0.2
4600,0.08
4700,0.18
4800,0.12
4900,0.02
