Run                                      Max    Min    Mean  
eps0.05_gamma0.825_lr0.001_decay1000     0.40   -0.20  0.04  
eps0.1_gamma0.75_lr0.001_decay3000       0.38   -0.20  0.03  
eps0.05_gamma0.75_lr0.01_decay3000       0.34   -0.18  0.02  
eps0.1_gamma0.825_lr0.0001_decay1000     0.34   -0.22  0.03  
eps0.1_gamma0.95_lr0.0001_decay1000      0.34   -0.22  0.02  
eps0.2_gamma0.75_lr0.0001_decay5000      0.34   -0.20  0.03  
eps0.2_gamma0.95_lr0.001_decay5000       0.34   -0.18  0.03  
eps0.05_gamma0.75_lr0.001_decay5000      0.32   -0.32  0.01  
eps0.05_gamma0.75_lr0.0001_decay1000     0.30   -0.26  0.04  
eps0.05_gamma0.95_lr0.001_decay3000      0.30   -0.24  0.03  
eps0.1_gamma0.75_lr0.01_decay1000        0.30   -0.14  0.04  
eps0.2_gamma0.75_lr0.0001_decay1000      0.30   -0.18  0.04  
eps0.2_gamma0.95_lr0.0001_decay3000      0.30   -0.16  0.01  
eps0.05_gamma0.75_lr0.0001_decay3000     0.28   -0.20  0.04  
eps0.05_gamma0.95_lr0.001_decay1000      0.28   -0.14  0.02  
eps0.1_gamma0.75_lr0.0001_decay1000      0.28   -0.30  0.03  
eps0.1_gamma0.75_lr0.0001_decay5000      0.28   -0.18  0.02  
eps0.1_gamma0.75_lr0.01_decay5000        0.28   -0.30  -0.01 
eps0.1_gamma0.95_lr0.001_decay5000       0.28   -0.22  0.00  
eps0.2_gamma0.75_lr0.001_decay3000       0.28   -0.22  0.02  
eps0.2_gamma0.95_lr0.01_decay1000        0.28   -0.22  0.01  
eps0.05_gamma0.75_lr0.01_decay1000       0.26   -0.20  0.00  
eps0.05_gamma0.825_lr0.01_decay3000      0.26   -0.22  -0.01 
eps0.05_gamma0.825_lr0.01_decay5000      0.26   -0.26  0.02  
eps0.05_gamma0.95_lr0.01_decay5000       0.26   -0.20  0.02  
eps0.1_gamma0.825_lr0.001_decay3000      0.26   -0.18  0.03  
eps0.1_gamma0.825_lr0.001_decay5000      0.26   -0.20  0.03  
eps0.2_gamma0.75_lr0.01_decay3000        0.26   -0.24  0.02  
eps0.2_gamma0.95_lr0.001_decay3000       0.26   -0.24  0.02  
eps0.05_gamma0.75_lr0.0001_decay5000     0.24   -0.18  0.01  
eps0.05_gamma0.825_lr0.0001_decay5000    0.24   -0.24  -0.01 
eps0.05_gamma0.95_lr0.0001_decay5000     0.24   -0.16  0.02  
eps0.05_gamma0.95_lr0.001_decay5000      0.24   -0.22  0.02  
eps0.1_gamma0.75_lr0.001_decay5000       0.24   -0.20  0.03  
eps0.1_gamma0.75_lr0.01_decay3000        0.24   -0.30  0.01  
eps0.1_gamma0.95_lr0.0001_decay5000      0.24   -0.24  0.02  
eps0.1_gamma0.95_lr0.001_decay3000       0.24   -0.22  0.03  
eps0.2_gamma0.825_lr0.0001_decay1000     0.24   -0.18  0.04  
eps0.2_gamma0.825_lr0.01_decay5000       0.24   -0.20  -0.01 
eps0.2_gamma0.95_lr0.0001_decay1000      0.24   -0.32  0.00  
eps0.05_gamma0.75_lr0.001_decay1000      0.22   -0.16  0.02  
eps0.05_gamma0.75_lr0.001_decay3000      0.22   -0.28  0.04  
eps0.05_gamma0.75_lr0.01_decay5000       0.22   -0.26  -0.00 
eps0.05_gamma0.825_lr0.0001_decay1000    0.22   -0.18  0.02  
eps0.05_gamma0.825_lr0.0001_decay3000    0.22   -0.16  0.01  
eps0.05_gamma0.825_lr0.001_decay3000     0.22   -0.28  0.02  
eps0.05_gamma0.825_lr0.01_decay1000      0.22   -0.18  0.01  
eps0.05_gamma0.95_lr0.0001_decay1000     0.22   -0.18  0.01  
eps0.05_gamma0.95_lr0.01_decay3000       0.22   -0.24  0.01  
eps0.1_gamma0.75_lr0.001_decay1000       0.22   -0.24  0.03  
eps0.1_gamma0.825_lr0.0001_decay5000     0.22   -0.24  0.03  
eps0.1_gamma0.825_lr0.01_decay5000       0.22   -0.14  0.02  
eps0.1_gamma0.95_lr0.001_decay1000       0.22   -0.40  -0.01 
eps0.1_gamma0.95_lr0.01_decay1000        0.22   -0.26  0.03  
eps0.2_gamma0.75_lr0.001_decay1000       0.22   -0.24  0.02  
