episode,reward
0,0.04
1500,0.16
3000,-0.08
4500,0.08
6000,-0.1
7500,-0.08
9000,0.04
10500,0.06
12000,0.12
13500,0.14
15000,0.1
16500,0.1
18000,0.14
19500,-0.08
21000,0.06
22500,-0.1
24000,0.12
25500,0.18
27000,0.04
28500,-0.06
30000,-0.08
31500,0.18
33000,-0.02
34500,0.08
36000,0.02
37500,0.02
39000,0.1
40500,0.06
42000,0.1
43500,-0.02
45000,0.0
46500,0.16
48000,0.22
49500,0.18
51000,0.1
52500,0.1
54000,0.2
55500,0.2
57000,0.24
58500,0.1
60000,0.0
61500,-0.04
63000,0.2
64500,-0.02
66000,0.16
67500,0.02
69000,0.18
70500,0.28
72000,0.06
73500,0.06
75000,0.2
76500,0.18
78000,0.2
79500,-0.04
81000,0.0
82500,0.14
84000,0.12
85500,0.14
87000,0.08
88500,0.18
90000,0.26
91500,0.06
93000,-0.04
94500,0.1
96000,0.06
97500,0.1
99000,0.2
100500,0.14
102000,0.34
103500,0.22
105000,0.0
106500,-0.04
108000,0.06
109500,0.1
111000,0.0
112500,0.18
114000,0.08
115500,0.16
117000,0.06
118500,0.14
120000,0.1
121500,0.32
123000,0.26
124500,0.06
126000,0.12
127500,0.2
129000,0.08
130500,0.16
132000,0.2
133500,0.22
135000,0.04
136500,0.28
138000,0.2
139500,0.1
141000,0.0
142500,0.06
144000,-0.02
145500,0.24
147000,0.1
148500,0.22
150000,0.18
151500,0.02
153000,0.16
154500,0.2
156000,0.02
157500,0.14
159000,0.22
160500,0.02
162000,0.1
163500,0.24
165000,0.16
166500,0.08
168000,0.2
169500,0.08
171000,0.0
172500,0.32
174000,0.18
175500,0.2
177000,0.34
178500,0.14
180000,0.12
181500,0.12
183000,0.2
184500,0.08
186000,-0.16
187500,0.34
189000,0.18
190500,0.08
192000,0.12
193500,-0.06
195000,0.08
196500,0.2
198000,0.04
199500,0.16
201000,-0.02
202500,0.1
204000,0.2
205500,-0.04
207000,0.34
208500,0.16
210000,0.24
211500,0.1
213000,0.2
214500,0.12
216000,0.08
217500,0.02
219000,0.2
220500,0.08
222000,0.08
223500,0.12
225000,0.08
226500,0.18
228000,0.18
229500,0.24
231000,0.28
232500,0.06
234000,0.12
235500,0.16
237000,0.04
238500,0.1
240000,0.0
241500,0.1
243000,0.22
244500,0.06
246000,0.0
247500,0.28
249000,0.18
250500,0.22
252000,-0.08
253500,0.22
255000,0.04
256500,-0.02
258000,0.28
259500,0.16
261000,0.1
262500,-0.04
264000,0.04
265500,0.28
267000,0.14
268500,0.26
270000,0.22
271500,0.26
273000,-0.02
274500,0.18
276000,0.22
277500,0.12
279000,0.06
280500,-0.06
282000,0.12
283500,0.06
285000,-0.04
286500,0.32
288000,0.2
289500,0.12
291000,0.22
292500,0.12
294000,0.2
295500,0.12
297000,0.14
298500,0.26
300000,0.14
301500,0.06
303000,0.22
304500,0.22
306000,0.1
307500,0.34
309000,0.42
310500,0.14
312000,0.3
313500,0.1
315000,-0.02
316500,0.16
318000,0.16
319500,0.12
321000,0.12
322500,0.1
324000,0.08
325500,0.1
327000,0.26
328500,-0.02
330000,0.24
331500,0.16
333000,0.06
334500,0.08
336000,0.12
337500,0.16
339000,0.08
340500,0.22
342000,0.2
343500,0.32
345000,0.04
346500,0.28
348000,0.24
349500,0.04
351000,0.02
352500,0.2
354000,0.02
355500,0.18
357000,-0.02
358500,0.14
360000,0.36
361500,-0.04
363000,0.18
364500,0.04
366000,0.22
367500,0.14
369000,0.16
370500,0.28
372000,0.06
373500,0.26
375000,-0.04
376500,0.06
378000,0.32
379500,0.3
381000,0.22
382500,-0.02
384000,0.26
385500,0.04
387000,0.0
388500,0.2
390000,0.32
391500,0.12
393000,0.22
394500,0.16
396000,0.18
397500,0.02
399000,0.24
